Week,Condition,Treatment,SampleNumber,Osmolality
Wk_2,Well-watered,Phosphorus Isolates,54,649
Wk_2,Drought,Drought Isolates,1,460
Wk_2,Drought,All Isolates,28,443
Wk_2,Well-watered,Control,75,596
Wk_2,Well-watered,Drought Isolates,5,462
Wk_2,Drought,Phosphorus Isolates,34,484
Wk_2,Well-watered,Phosphorus Isolates,67,566
Wk_2,Drought,All Isolates,73,441
Wk_2,Drought,Nonfunctional Isolates,32,443
Wk_2,Drought,Control,35,486
Wk_2,Well-watered,Nonfunctional Isolates,76,639
Wk_2,Drought,Control,39,411
Wk_6,Drought,Nonfunctional Isolates,2,332
Wk_6,Well-watered,Phosphorus Isolates,67,587
Wk_6,Drought,Control,39,481
Wk_6,Drought,All Isolates,73,453
Wk_6,Drought,All Isolates,28,438
Wk_6,Well-watered,Drought Isolates,31,389
Wk_6,Drought,Drought Isolates,1,458
Wk_6,Drought,Nonfunctional Isolates,17,455
Wk_6,Drought,Phosphorus Isolates,14,345
Wk_6,Well-watered,Control Mock,20,394
Wk_6,Drought,Phosphorus Isolates,11,365
Wk_6,Drought,Nonfunctional Isolates,33,350
Wk_6,Well-watered,Nonfunctional Isolates,9,559
Wk_6,Well-watered,All Isolates,26,636
Wk_6,Drought,Control,35,407
Wk_6,Well-watered,Nonfunctional Isolates,48,541
Wk_6,Well-watered,Control,77,484
Wk_6,Drought,Drought Isolates,70,367
Wk_6,Well-watered,Drought Isolates,58,488
Wk_6,Drought,Control Mock,6,352
Wk_6,Drought,Phosphorus Isolates,4,425
Wk_6,Well-watered,Control,75,519
Wk_6,Drought,Control Mock,8,376
Wk_6,Drought,Drought Isolates,10,410
Wk_6,Drought,Control Mock,80,411
Wk_6,Drought,All Isolates,43,405
Wk_6,Drought,Drought Isolates,57,330
Wk_6,Well-watered,Control,78,463
Wk_6,Well-watered,All Isolates,68,472
Wk_6,Well-watered,All Isolates,62,459
Wk_6,Well-watered,Control Mock,24,524
Wk_6,Well-watered,Phosphorus Isolates,54,518
Wk_6,Well-watered,Control Mock,63,495
Wk_6,Well-watered,Phosphorus Isolates,64,521
Wk_6,Well-watered,All Isolates,18,523
Wk_6,Well-watered,Nonfunctional Isolates,76,502
