Week,Condition,Treatment,SampleNumber,MalicAverage
Wk_2,Drought,Drought Isolates,57,491.7
Wk_2,Drought,Control,79,452.7
Wk_2,Drought,All Isolates,73,255.1
Wk_2,Well-watered,Control Mock,63,557.7
Wk_2,Well-watered,Drought Isolates,31,500.3
Wk_2,Well-watered,Drought Isolates,25,234.2
Wk_2,Drought,Control,35,357.6
Wk_2,Drought,Control Mock,8,407.5
Wk_2,Drought,Phosphorus Isolates,14,325.9
Wk_2,Well-watered,Phosphorus Isolates,54,632.4
Wk_2,Well-watered,All Isolates,62,349.8
Wk_2,Well-watered,Nonfunctional Isolates,59,585.0
Wk_2,Drought,Phosphorus Isolates,4,338.0
Wk_2,Drought,Control Mock,80,696.7
Wk_2,Drought,Control Mock,80(2),360.0
Wk_2,Well-watered,Nonfunctional Isolates,48,668.0
Wk_2,Well-watered,All Isolates,26,na
Wk_4,Drought,Null Isolates,3,447.8
Wk_4,Well-watered,All Isolates,40,680.8
Wk_4,Well-watered,Null Isolates,53,1114.0
Wk_4,Drought,Control Mock,72,709.3
Wk_4,Drought,Null Isolates,23,676.6
Wk_4,Drought,Control Mock,6,440.0
Wk_4,Well-watered,Null Isolates,65,899.6
Wk_4,Well-watered,Control,75,896.1
Wk_4,Well-watered,All Isolates,30,405.8
Wk_4,Well-watered,Control,22,477.4
Wk_4,Drought,Null Isolates,52,279.1
Wk_4,Well-watered,Null Isolates,77,434.1
Wk_4,Drought,Control,38,245.2
Wk_4,Well-watered,Control,63,632.9
Wk_4,Drought,All Isolates,60,165.5
Wk_4,Drought,All Isolates,69,51.7
Wk_4,Well-watered,Null Isolates,45,712.8
Wk_4,Drought,All Isolates,74,512.5
Wk_4,Drought,Control,35,522.6
Wk_4,Well-watered,All Isolates,15,1265.0
Wk_4,Drought,Control Mock,27,387.4
Wk_4,Well-watered,Phosphorus Isolates,67,587.5
Wk_4,Well-watered,Phosphorus Isolates,64,583.0
Wk_4,Well-watered,Phosphorus Isolates,54,590.9
Wk_4,Drought,Phosphorus Isolates,34,182.5
Wk_4,Drought,Phosphorus Isolates,13,330.7
Wk_4,Well-watered,Drought Isolates,58,697.5
Wk_4,Drought,Drought Isolates,21,454.5
Wk_6,Well-watered,All Isolates,18,340.0
Wk_6,Drought,Nonfunctional Isolates,17,221.3
Wk_6,Well-watered,All Isolates,68,386.8
Wk_6,Well-watered,Phosphorus Isolates,64,394.2
Wk_6,Well-watered,Phosphorus Isolates,54,524.9
Wk_6,Well-watered,Nonfunctional Isolates,76,497.0
Wk_6,Well-watered,Control Mock,63,206.7
Wk_6,Drought,Drought Isolates,1,240.0
Wk_6,Well-watered,Drought Isolates,31,241.0
Wk_6,Well-watered,Control,77,322.7
Wk_6,Drought,Phosphorus Isolates,14,197.9
Wk_6,Well-watered,Control,78,250.0
Wk_6,Well-watered,Drought Isolates,58,239.1
Wk_6,Drought,Phosphorus Isolates,4,241.1
Wk_6,Drought,Drought Isolates,10,367.1
Wk_6,Drought,Drought Isolates,70,244.9
Wk_6,Well-watered,Control Mock,24,430.7
Wk_6,Well-watered,Control,75,221.6
Wk_6,Drought,Control Mock,8,295.7
Wk_6,Well-watered,Control Mock,20,190.7
Wk_6,Drought,Control Mock,80,284.4
Wk_6,Drought,Drought Isolates,57,220.8
Wk_6,Well-watered,Drought Isolates,5,437.0
Wk_6,Well-watered,All Isolates,62,247.7
Wk_6,Drought,Nonfunctional Isolates,2,212.5
Wk_6,Drought,All Isolates,43,298.9
Wk_6,Well-watered,All Isolates,26,644.2
Wk_6,Well-watered,Nonfunctional Isolates,48,674.3
Wk_6,Drought,Control Mock,6,270.1
Wk_6,Drought,Control,39,409.3
Wk_6,Well-watered,Nonfunctional Isolates,9,619.2
Wk_6,Drought,All Isolates,28,261.8
Wk_6,Drought,Phosphorus Isolates,11,287.2
Wk_6,Drought,All Isolates,73,261.6
Wk_6,Drought,Control,35,303.0
Wk_6,Well-watered,Phosphorus Isolates,67,551.2
Wk_8,Well-watered,All_Isolates,68,294.8
Wk_8,Well-watered,All_Isolates,26,338.1
Wk_8,Well-watered,All_Isolates,62,584.4
Wk_8,Drought,All_Isolates,43,189.2
Wk_8,Drought,All_Isolates,28,232.4
Wk_8,Drought,All_Isolates,73,266.9
Wk_8,Well-watered,Phosphorus_Isolates,64,426.6
Wk_8,Well-watered,Phosphorus_Isolates,67,386.5
Wk_8,Well-watered,Phosphorus_Isolates,54,533.2
Wk_8,Drought,Phosphorus_Isolates,11,103.4
Wk_8,Drought,Phosphorus_Isolates,14,317.1
Wk_8,Drought,Phosphorus_Isolates,4,412.0
Wk_8,Well-watered,Drought_Isolates,58,680.4
Wk_8,Well-watered,Drought_Isolates,31,299.9
Wk_8,Well-watered,Drought_Isolates,5,158.3
Wk_8,Drought,Drought_Isolates,10,233.2
Wk_8,Drought,Drought_Isolates,70,273.6
Wk_8,Drought,Drought_Isolates,57,195.0
Wk_8,Well-watered,Null_Isolates,9,773.1
Wk_8,Well-watered,Null_Isolates,48,608.4
Wk_8,Well-watered,Null_Isolates,76,664.0
Wk_8,Drought,Null_Isolates,2,319.4
Wk_8,Drought,Null_Isolates,17,323.3
Wk_8,Drought,Null_Isolates,33,528.3
Wk_8,Well-watered,Control,75,782.5
Wk_8,Well-watered,Control,78,618.6
Wk_8,Well-watered,Control,77,579.9
Wk_8,Well-watered,Control Mock,24,680.3
Wk_8,Well-watered,Control Mock,20,633.9
Wk_8,Well-watered,Control Mock,63,679.7
Wk_8,Drought,Control,35,219.4
Wk_8,Drought,Control,79,223.2
Wk_8,Drought,Control,39,288.7
Wk_8,Drought,Control Mock,6,220.3
Wk_8,Drought,Control Mock,80,264.0
Wk_8,Drought,Control Mock,8,270.7
